it,ground_truth,pred,mse
1210,0.119235384740485,0.12072283029556274,2.212494279320519e-06
1220,0.119235384740485,0.12091001868247986,2.8043988396812173e-06
1230,0.119235384740485,0.1190645843744278,2.9172765045277293e-08
1240,0.119235384740485,0.12114258855581284,3.6374263932010285e-06
1250,0.119235384740485,0.1176873967051506,2.3962669575384624e-06
1260,0.119235384740485,0.12132927030324936,4.38435674995299e-06
1270,0.119235384740485,0.12236817926168442,9.814401512057048e-06
1280,0.119235384740485,0.11834454536437988,7.935947940193659e-07
1290,0.119235384740485,0.122523233294487,1.0809948114052997e-05
1300,0.119235384740485,0.11886588484048843,1.3653017609747716e-07
1310,0.119235384740485,0.12008684873580933,7.249909353336531e-07
1320,0.119235384740485,0.12164589762687683,5.810572375461045e-06
1330,0.119235384740485,0.12392356991767883,2.197908025565991e-05
1340,0.119235384740485,0.11824260652065277,9.856085937732624e-07
1350,0.119235384740485,0.12000875174999237,5.980965313943635e-07
1360,0.119235384740485,0.11995485424995422,5.17636375055876e-07
1370,0.119235384740485,0.1189056783914566,1.0870627658963874e-07
1380,0.119235384740485,0.12127052247524261,4.1417855994343295e-06
1390,0.119235384740485,0.11961983144283295,1.477992669462058e-07
1400,0.119235384740485,0.12297938764095306,1.4017557718713228e-05
1410,0.119235384740485,0.11863675713539124,3.5835500958030395e-07
1420,0.119235384740485,0.12002160400152206,6.181407264256571e-07
1430,0.119235384740485,0.12197559326887131,7.508742779041017e-06
1440,0.119235384740485,0.12016227096319199,8.591180698440126e-07
1450,0.119235384740485,0.12087130546569824,2.676236619182199e-06
1460,0.119235384740485,0.12028711289167404,1.1061321040035062e-06
1470,0.119235384740485,0.11984311789274216,3.693395843524129e-07
1480,0.119235384740485,0.122224822640419,8.936738957561803e-06
1490,0.119235384740485,0.12160153687000275,5.5986759000213364e-06
1500,0.119235384740485,0.11975735425949097,2.724521787713136e-07
1510,0.119235384740485,0.12153662741184235,5.295717832475865e-06
1520,0.119235384740485,0.12008152157068253,7.159475354167054e-07
